actors,movie_id,movie_title
Joel David Moore,499549,Avatar 
CCH Pounder,499549,Avatar 
Wes Studi,499549,Avatar 
Orlando Bloom,449088,Pirates of the Caribbean: At World's End 
Johnny Depp,449088,Pirates of the Caribbean: At World's End 
Jack Davenport,449088,Pirates of the Caribbean: At World's End 
Rory Kinnear,2379713,Spectre 
Christoph Waltz,2379713,Spectre 
Stephanie Sigman,2379713,Spectre 
Christian Bale,1345836,The Dark Knight Rises 
Tom Hardy,1345836,The Dark Knight Rises 
Joseph Gordon-Levitt,1345836,The Dark Knight Rises 
Rob Walker,5289954,Star Wars: Episode VII - The Force Awakens             
Doug Walker,5289954,Star Wars: Episode VII - The Force Awakens             
,5289954,Star Wars: Episode VII - The Force Awakens             
Samantha Morton,401729,John Carter 
Daryl Sabara,401729,John Carter 
Polly Walker,401729,John Carter 
Donna Murphy,398286,Tangled 
Brad Garrett,398286,Tangled 
M.C. Gainey,398286,Tangled 
Robert Downey Jr.,2395427,Avengers: Age of Ultron 
Chris Hemsworth,2395427,Avengers: Age of Ultron 
Scarlett Johansson,2395427,Avengers: Age of Ultron 
Daniel Radcliffe,417741,Harry Potter and the Half-Blood Prince 
Alan Rickman,417741,Harry Potter and the Half-Blood Prince 
Rupert Grint,417741,Harry Potter and the Half-Blood Prince 
Lauren Cohan,2975590,Batman v Superman: Dawn of Justice 
Henry Cavill,2975590,Batman v Superman: Dawn of Justice 
Alan D. Purwin,2975590,Batman v Superman: Dawn of Justice 
Marlon Brando,348150,Superman Returns 
Kevin Spacey,348150,Superman Returns 
Frank Langella,348150,Superman Returns 
Mathieu Amalric,830515,Quantum of Solace 
Giancarlo Giannini,830515,Quantum of Solace 
Rory Kinnear,830515,Quantum of Solace 
Orlando Bloom,383574,Pirates of the Caribbean: Dead Man's Chest 
Johnny Depp,383574,Pirates of the Caribbean: Dead Man's Chest 
Jack Davenport,383574,Pirates of the Caribbean: Dead Man's Chest 
Ruth Wilson,1210819,The Lone Ranger 
Johnny Depp,1210819,The Lone Ranger 
Tom Wilkinson,1210819,The Lone Ranger 
Christopher Meloni,770828,Man of Steel 
Henry Cavill,770828,Man of Steel 
Harry Lennix,770828,Man of Steel 
Pierfrancesco Favino,499448,The Chronicles of Narnia: Prince Caspian 
Peter Dinklage,499448,The Chronicles of Narnia: Prince Caspian 
Damián Alcázar,499448,The Chronicles of Narnia: Prince Caspian 
Sam Claflin,1298650,Pirates of the Caribbean: On Stranger Tides 
Johnny Depp,1298650,Pirates of the Caribbean: On Stranger Tides 
Stephen Graham,1298650,Pirates of the Caribbean: On Stranger Tides 
Michael Stuhlbarg,1409024,Men in Black 3 
Will Smith,1409024,Men in Black 3 
Nicole Scherzinger,1409024,Men in Black 3 
Adam Brown,2310332,The Hobbit: The Battle of the Five Armies 
Aidan Turner,2310332,The Hobbit: The Battle of the Five Armies 
James Nesbitt,2310332,The Hobbit: The Battle of the Five Armies 
Andrew Garfield,948470,The Amazing Spider-Man 
Emma Stone,948470,The Amazing Spider-Man 
Chris Zylka,948470,The Amazing Spider-Man 
William Hurt,955308,Robin Hood 
Mark Addy,955308,Robin Hood 
Scott Grimes,955308,Robin Hood 
Adam Brown,1170358,The Hobbit: The Desolation of Smaug 
Aidan Turner,1170358,The Hobbit: The Desolation of Smaug 
James Nesbitt,1170358,The Hobbit: The Desolation of Smaug 
Eva Green,385752,The Golden Compass 
Christopher Lee,385752,The Golden Compass 
Kristin Scott Thomas,385752,The Golden Compass 
Kate Winslet,120338,Titanic 
Leonardo DiCaprio,120338,Titanic 
Gloria Stuart,120338,Titanic 
Scarlett Johansson,3498820,Captain America: Civil War 
Robert Downey Jr.,3498820,Captain America: Civil War 
Chris Evans,3498820,Captain America: Civil War 
Alexander Skarsgård,1440129,Battleship 
Liam Neeson,1440129,Battleship 
Tadanobu Asano,1440129,Battleship 
Judy Greer,369610,Jurassic World 
Bryce Dallas Howard,369610,Jurassic World 
Omar Sy,369610,Jurassic World 
James Franco,316654,Spider-Man 2 
J.K. Simmons,316654,Spider-Man 2 
Kirsten Dunst,316654,Spider-Man 2 
Jon Favreau,1300854,Iron Man 3 
Robert Downey Jr.,1300854,Iron Man 3 
Don Cheadle,1300854,Iron Man 3 
Kelsey Grammer,376994,X-Men: The Last Stand 
Hugh Jackman,376994,X-Men: The Last Stand 
Daniel Cudmore,376994,X-Men: The Last Stand 
Tyler Labine,1453405,Monsters University 
Steve Buscemi,1453405,Monsters University 
Sean Hayes,1453405,Monsters University 
Kevin Dunn,1055369,Transformers: Revenge of the Fallen 
Glenn Morshower,1055369,Transformers: Revenge of the Fallen 
Ramon Rodriguez,1055369,Transformers: Revenge of the Fallen 
Sophia Myles,2109248,Transformers: Age of Extinction 
Bingbing Li,2109248,Transformers: Age of Extinction 
Kelsey Grammer,2109248,Transformers: Age of Extinction 
Andrew Garfield,1872181,The Amazing Spider-Man 2 
Emma Stone,1872181,The Amazing Spider-Man 2 
B.J. Novak,1872181,The Amazing Spider-Man 2 
Thomas Kretschmann,1216475,Cars 2 
Joe Mantegna,1216475,Cars 2 
Eddie Izzard,1216475,Cars 2 
Temuera Morrison,1133985,Green Lantern 
Ryan Reynolds,1133985,Green Lantern 
Taika Waititi,1133985,Green Lantern 
John Ratzenberger,435761,Toy Story 3 
Tom Hanks,435761,Toy Story 3 
Don Rickles,435761,Toy Story 3 
Bryce Dallas Howard,438488,Terminator Salvation 
Christian Bale,438488,Terminator Salvation 
Common,438488,Terminator Salvation 
Paul Walker,2820852,Furious 7 
Jason Statham,2820852,Furious 7 
Vin Diesel,2820852,Furious 7 
Brad Pitt,816711,World War Z 
Peter Capaldi,816711,World War Z 
Mireille Enos,816711,World War Z 
Peter Dinklage,1877832,X-Men: Days of Future Past 
Jennifer Lawrence,1877832,X-Men: Days of Future Past 
Hugh Jackman,1877832,X-Men: Days of Future Past 
Bruce Greenwood,1408101,Star Trek Into Darkness 
Benedict Cumberbatch,1408101,Star Trek Into Darkness 
Noel Clarke,1408101,Star Trek Into Darkness 
Ewen Bremner,1351685,Jack the Giant Slayer 
Eddie Marsan,1351685,Jack the Giant Slayer 
Ralph Brown,1351685,Jack the Giant Slayer 
Richard Coyle,473075,Prince of Persia: The Sands of Time 
Jake Gyllenhaal,473075,Prince of Persia: The Sands of Time 
Reece Ritchie,473075,Prince of Persia: The Sands of Time 
Clifton Collins Jr.,1663662,Pacific Rim 
Charlie Hunnam,1663662,Pacific Rim 
Larry Joe Campbell,1663662,Pacific Rim 
Lester Speight,1399103,Transformers: Dark of the Moon 
Glenn Morshower,1399103,Transformers: Dark of the Moon 
Kevin Dunn,1399103,Transformers: Dark of the Moon 
Ray Winstone,367882,Indiana Jones and the Kingdom of the Crystal Skull 
Harrison Ford,367882,Indiana Jones and the Kingdom of the Crystal Skull 
Jim Broadbent,367882,Indiana Jones and the Kingdom of the Crystal Skull 
Jack McGraw,1979388,The Good Dinosaur 
A.J. Buckley,1979388,The Good Dinosaur 
Peter Sohn,1979388,The Good Dinosaur 
John Ratzenberger,1217209,Brave 
Kelly Macdonald,1217209,Brave 
Julie Walters,1217209,Brave 
Melissa Roxburgh,2660888,Star Trek Beyond 
Sofia Boutella,2660888,Star Trek Beyond 
Lydia Wilson,2660888,Star Trek Beyond 
Fred Willard,910970,WALL·E 
John Ratzenberger,910970,WALL·E 
Jeff Garlin,910970,WALL·E 
Dana Ivey,293564,Rush Hour 3 
Tzi Ma,293564,Rush Hour 3 
Noémie Lenoir,293564,Rush Hour 3 
Liam James,1190080,2012 
Oliver Platt,1190080,2012 
Tom McCarthy,1190080,2012 
Colin Firth,1067106,A Christmas Carol 
Robin Wright,1067106,A Christmas Carol 
Gary Oldman,1067106,A Christmas Carol 
Mila Kunis,1617661,Jupiter Ascending 
Channing Tatum,1617661,Jupiter Ascending 
Eddie Redmayne,1617661,Jupiter Ascending 
Kiran Shah,363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe "
Jim Broadbent,363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe "
Shane Rangi,363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe "
Michael Fassbender,3385516,X-Men: Apocalypse 
Jennifer Lawrence,3385516,X-Men: Apocalypse 
Tye Sheridan,3385516,X-Men: Apocalypse 
Heath Ledger,468569,The Dark Knight 
Christian Bale,468569,The Dark Knight 
Morgan Freeman,468569,The Dark Knight 
Delroy Lindo,1049413,Up 
John Ratzenberger,1049413,Up 
Jess Harnell,1049413,Up 
Rainn Wilson,892782,Monsters vs. Aliens 
Amy Poehler,892782,Monsters vs. Aliens 
Stephen Colbert,892782,Monsters vs. Aliens 
Jeff Bridges,371746,Iron Man 
Robert Downey Jr.,371746,Iron Man 
Jon Favreau,371746,Iron Man 
Christopher Lee,970179,Hugo 
Chloë Grace Moretz,970179,Hugo 
Ray Winstone,970179,Hugo 
Salma Hayek,120891,Wild Wild West 
Will Smith,120891,Wild Wild West 
Bai Ling,120891,Wild Wild West 
Brendan Fraser,859163,The Mummy: Tomb of the Dragon Emperor 
Jet Li,859163,The Mummy: Tomb of the Dragon Emperor 
Russell Wong,859163,The Mummy: Tomb of the Dragon Emperor 
Robin Atkin Downes,1386697,Suicide Squad 
Will Smith,1386697,Suicide Squad 
Ike Barinholtz,1386697,Suicide Squad 
Morgan Freeman,413099,Evan Almighty 
Jimmy Bennett,413099,Evan Almighty 
Steve Carell,413099,Evan Almighty 
Lara Pulver,1631867,Edge of Tomorrow 
Tom Cruise,1631867,Edge of Tomorrow 
Noah Taylor,1631867,Edge of Tomorrow 
Rick Aviles,114898,Waterworld 
Jeanne Tripplehorn,114898,Waterworld 
Zakes Mokae,114898,Waterworld 
Dennis Quaid,1046173,G.I. Joe: The Rise of Cobra 
Joseph Gordon-Levitt,1046173,G.I. Joe: The Rise of Cobra 
Leo Howard,1046173,G.I. Joe: The Rise of Cobra 
Mindy Kaling,2096673,Inside Out 
Amy Poehler,2096673,Inside Out 
Phyllis Smith,2096673,Inside Out 
Scarlett Johansson,1228705,Iron Man 2 
Robert Downey Jr.,1228705,Iron Man 2 
Jon Favreau,1228705,Iron Man 2 
Kristen Stewart,1735898,Snow White and the Huntsman 
Chris Hemsworth,1735898,Snow White and the Huntsman 
Sam Claflin,1735898,Snow White and the Huntsman 
Sharlto Copley,1587310,Maleficent 
Angelina Jolie Pitt,1587310,Maleficent 
Sam Riley,1587310,Maleficent 
Judy Greer,2103281,Dawn of the Planet of the Apes 
Gary Oldman,2103281,Dawn of the Planet of the Apes 
Kodi Smit-McPhee,2103281,Dawn of the Planet of the Apes 
Cary-Hiroyuki Tagawa,1335975,47 Ronin 
Keanu Reeves,1335975,47 Ronin 
Jin Akanishi,1335975,47 Ronin 
Chris Evans,1843866,Captain America: The Winter Soldier 
Scarlett Johansson,1843866,Captain America: The Winter Soldier 
Hayley Atwell,1843866,Captain America: The Winter Soldier 
Kathy Griffin,892791,Shrek Forever After 
Jon Hamm,892791,Shrek Forever After 
Mary Kay Place,892791,Shrek Forever After 
Chris Bauer,1964418,Tomorrowland 
Judy Greer,1964418,Tomorrowland 
Thomas Robinson,1964418,Tomorrowland 
Daniel Henney,2245084,Big Hero 6 
Damon Wayans Jr.,2245084,Big Hero 6 
Abraham Benrubi,2245084,Big Hero 6 
Sarah Silverman,1772341,Wreck-It Ralph 
Jack McBrayer,1772341,Wreck-It Ralph 
Joe Lo Truglio,1772341,Wreck-It Ralph 
Eddie Deezen,338348,The Polar Express 
Tom Hanks,338348,The Polar Express 
Peter Scolari,338348,The Polar Express 
Sela Ward,1628841,Independence Day: Resurgence 
Vivica A. Fox,1628841,Independence Day: Resurgence 
Judd Hirsch,1628841,Independence Day: Resurgence 
America Ferrera,892769,How to Train Your Dragon 
Gerard Butler,892769,How to Train Your Dragon 
Craig Ferguson,892769,How to Train Your Dragon 
M.C. Gainey,181852,Terminator 3: Rise of the Machines 
Nick Stahl,181852,Terminator 3: Rise of the Machines 
Carolyn Hennesy,181852,Terminator 3: Rise of the Machines 
Vin Diesel,2015381,Guardians of the Galaxy 
Bradley Cooper,2015381,Guardians of the Galaxy 
Djimon Hounsou,2015381,Guardians of the Galaxy 
Anne Hathaway,816692,Interstellar 
Matthew McConaughey,816692,Interstellar 
Mackenzie Foy,816692,Interstellar 
Tom Hardy,1375666,Inception 
Leonardo DiCaprio,1375666,Inception 
Joseph Gordon-Levitt,1375666,Inception 
Adam Brown,903624,The Hobbit: An Unexpected Journey 
Aidan Turner,903624,The Hobbit: An Unexpected Journey 
James Nesbitt,903624,The Hobbit: An Unexpected Journey 
Jason Flemyng,421715,The Curious Case of Benjamin Button 
Brad Pitt,421715,The Curious Case of Benjamin Button 
Julia Ormond,421715,The Curious Case of Benjamin Button 
Michael Fassbender,1270798,X-Men: First Class 
Jennifer Lawrence,1270798,X-Men: First Class 
Oliver Platt,1270798,X-Men: First Class 
Philip Seymour Hoffman,1951266,The Hunger Games: Mockingjay - Part 2 
Jennifer Lawrence,1951266,The Hunger Games: Mockingjay - Part 2 
Josh Hutcherson,1951266,The Hunger Games: Mockingjay - Part 2 
Omar Benson Miller,963966,The Sorcerer's Apprentice 
Nicolas Cage,963966,The Sorcerer's Apprentice 
Robert Capron,963966,The Sorcerer's Apprentice 
Mike Vogel,409182,Poseidon 
Jimmy Bennett,409182,Poseidon 
Andre Braugher,409182,Poseidon 
