director_name,movie_id,movie_title,duration
James Cameron,499549,Avatar ,178
James Cameron,499549,Avatar ,178
James Cameron,499549,Avatar ,178
James Cameron,499549,Avatar ,178
Gore Verbinski,449088,Pirates of the Caribbean: At World's End ,169
Gore Verbinski,449088,Pirates of the Caribbean: At World's End ,169
Gore Verbinski,449088,Pirates of the Caribbean: At World's End ,169
Sam Mendes,2379713,Spectre ,148
Sam Mendes,2379713,Spectre ,148
Sam Mendes,2379713,Spectre ,148
Christopher Nolan,1345836,The Dark Knight Rises ,164
Christopher Nolan,1345836,The Dark Knight Rises ,164
Doug Walker,5289954,Star Wars: Episode VII - The Force Awakens             ,
Andrew Stanton,401729,John Carter ,132
Andrew Stanton,401729,John Carter ,132
Andrew Stanton,401729,John Carter ,132
Nathan Greno,398286,Tangled ,100
Nathan Greno,398286,Tangled ,100
Nathan Greno,398286,Tangled ,100
Nathan Greno,398286,Tangled ,100
Nathan Greno,398286,Tangled ,100
Nathan Greno,398286,Tangled ,100
Nathan Greno,398286,Tangled ,100
Joss Whedon,2395427,Avengers: Age of Ultron ,141
Joss Whedon,2395427,Avengers: Age of Ultron ,141
Joss Whedon,2395427,Avengers: Age of Ultron ,141
David Yates,417741,Harry Potter and the Half-Blood Prince ,153
David Yates,417741,Harry Potter and the Half-Blood Prince ,153
David Yates,417741,Harry Potter and the Half-Blood Prince ,153
David Yates,417741,Harry Potter and the Half-Blood Prince ,153
Zack Snyder,2975590,Batman v Superman: Dawn of Justice ,183
Zack Snyder,2975590,Batman v Superman: Dawn of Justice ,183
Zack Snyder,2975590,Batman v Superman: Dawn of Justice ,183
Bryan Singer,348150,Superman Returns ,169
Bryan Singer,348150,Superman Returns ,169
Bryan Singer,348150,Superman Returns ,169
Marc Forster,830515,Quantum of Solace ,106
Marc Forster,830515,Quantum of Solace ,106
Gore Verbinski,383574,Pirates of the Caribbean: Dead Man's Chest ,151
Gore Verbinski,383574,Pirates of the Caribbean: Dead Man's Chest ,151
Gore Verbinski,383574,Pirates of the Caribbean: Dead Man's Chest ,151
Gore Verbinski,1210819,The Lone Ranger ,150
Gore Verbinski,1210819,The Lone Ranger ,150
Gore Verbinski,1210819,The Lone Ranger ,150
Zack Snyder,770828,Man of Steel ,143
Zack Snyder,770828,Man of Steel ,143
Zack Snyder,770828,Man of Steel ,143
Zack Snyder,770828,Man of Steel ,143
Andrew Adamson,499448,The Chronicles of Narnia: Prince Caspian ,150
Andrew Adamson,499448,The Chronicles of Narnia: Prince Caspian ,150
Andrew Adamson,499448,The Chronicles of Narnia: Prince Caspian ,150
Andrew Adamson,499448,The Chronicles of Narnia: Prince Caspian ,150
Rob Marshall,1298650,Pirates of the Caribbean: On Stranger Tides ,136
Rob Marshall,1298650,Pirates of the Caribbean: On Stranger Tides ,136
Rob Marshall,1298650,Pirates of the Caribbean: On Stranger Tides ,136
Barry Sonnenfeld,1409024,Men in Black 3 ,106
Barry Sonnenfeld,1409024,Men in Black 3 ,106
Barry Sonnenfeld,1409024,Men in Black 3 ,106
Barry Sonnenfeld,1409024,Men in Black 3 ,106
Barry Sonnenfeld,1409024,Men in Black 3 ,106
Barry Sonnenfeld,1409024,Men in Black 3 ,106
Peter Jackson,2310332,The Hobbit: The Battle of the Five Armies ,164
Peter Jackson,2310332,The Hobbit: The Battle of the Five Armies ,164
Marc Webb,948470,The Amazing Spider-Man ,153
Marc Webb,948470,The Amazing Spider-Man ,153
Marc Webb,948470,The Amazing Spider-Man ,153
Ridley Scott,955308,Robin Hood ,156
Ridley Scott,955308,Robin Hood ,156
Ridley Scott,955308,Robin Hood ,156
Ridley Scott,955308,Robin Hood ,156
Peter Jackson,1170358,The Hobbit: The Desolation of Smaug ,186
Peter Jackson,1170358,The Hobbit: The Desolation of Smaug ,186
Chris Weitz,385752,The Golden Compass ,113
Chris Weitz,385752,The Golden Compass ,113
Chris Weitz,385752,The Golden Compass ,113
James Cameron,120338,Titanic ,194
James Cameron,120338,Titanic ,194
Anthony Russo,3498820,Captain America: Civil War ,147
Anthony Russo,3498820,Captain America: Civil War ,147
Anthony Russo,3498820,Captain America: Civil War ,147
Peter Berg,1440129,Battleship ,131
Peter Berg,1440129,Battleship ,131
Peter Berg,1440129,Battleship ,131
Peter Berg,1440129,Battleship ,131
Colin Trevorrow,369610,Jurassic World ,124
Colin Trevorrow,369610,Jurassic World ,124
Colin Trevorrow,369610,Jurassic World ,124
Colin Trevorrow,369610,Jurassic World ,124
Sam Raimi,316654,Spider-Man 2 ,135
Sam Raimi,316654,Spider-Man 2 ,135
Sam Raimi,316654,Spider-Man 2 ,135
Sam Raimi,316654,Spider-Man 2 ,135
Shane Black,1300854,Iron Man 3 ,195
Shane Black,1300854,Iron Man 3 ,195
Shane Black,1300854,Iron Man 3 ,195
Brett Ratner,376994,X-Men: The Last Stand ,104
Brett Ratner,376994,X-Men: The Last Stand ,104
Brett Ratner,376994,X-Men: The Last Stand ,104
Brett Ratner,376994,X-Men: The Last Stand ,104
Brett Ratner,376994,X-Men: The Last Stand ,104
Dan Scanlon,1453405,Monsters University ,104
Dan Scanlon,1453405,Monsters University ,104
Dan Scanlon,1453405,Monsters University ,104
Dan Scanlon,1453405,Monsters University ,104
Dan Scanlon,1453405,Monsters University ,104
Michael Bay,1055369,Transformers: Revenge of the Fallen ,150
Michael Bay,1055369,Transformers: Revenge of the Fallen ,150
Michael Bay,1055369,Transformers: Revenge of the Fallen ,150
Michael Bay,2109248,Transformers: Age of Extinction ,165
Michael Bay,2109248,Transformers: Age of Extinction ,165
Michael Bay,2109248,Transformers: Age of Extinction ,165
Marc Webb,1872181,The Amazing Spider-Man 2 ,142
Marc Webb,1872181,The Amazing Spider-Man 2 ,142
Marc Webb,1872181,The Amazing Spider-Man 2 ,142
Marc Webb,1872181,The Amazing Spider-Man 2 ,142
John Lasseter,1216475,Cars 2 ,106
John Lasseter,1216475,Cars 2 ,106
John Lasseter,1216475,Cars 2 ,106
John Lasseter,1216475,Cars 2 ,106
John Lasseter,1216475,Cars 2 ,106
Martin Campbell,1133985,Green Lantern ,123
Martin Campbell,1133985,Green Lantern ,123
Martin Campbell,1133985,Green Lantern ,123
Lee Unkrich,435761,Toy Story 3 ,103
Lee Unkrich,435761,Toy Story 3 ,103
Lee Unkrich,435761,Toy Story 3 ,103
Lee Unkrich,435761,Toy Story 3 ,103
Lee Unkrich,435761,Toy Story 3 ,103
McG,438488,Terminator Salvation ,118
McG,438488,Terminator Salvation ,118
McG,438488,Terminator Salvation ,118
James Wan,2820852,Furious 7 ,140
James Wan,2820852,Furious 7 ,140
James Wan,2820852,Furious 7 ,140
Marc Forster,816711,World War Z ,123
Marc Forster,816711,World War Z ,123
Marc Forster,816711,World War Z ,123
Marc Forster,816711,World War Z ,123
Marc Forster,816711,World War Z ,123
Bryan Singer,1877832,X-Men: Days of Future Past ,149
Bryan Singer,1877832,X-Men: Days of Future Past ,149
Bryan Singer,1877832,X-Men: Days of Future Past ,149
Bryan Singer,1877832,X-Men: Days of Future Past ,149
Bryan Singer,1877832,X-Men: Days of Future Past ,149
J.J. Abrams,1408101,Star Trek Into Darkness ,132
J.J. Abrams,1408101,Star Trek Into Darkness ,132
J.J. Abrams,1408101,Star Trek Into Darkness ,132
Bryan Singer,1351685,Jack the Giant Slayer ,114
Bryan Singer,1351685,Jack the Giant Slayer ,114
Mike Newell,473075,Prince of Persia: The Sands of Time ,116
Mike Newell,473075,Prince of Persia: The Sands of Time ,116
Mike Newell,473075,Prince of Persia: The Sands of Time ,116
Mike Newell,473075,Prince of Persia: The Sands of Time ,116
Guillermo del Toro,1663662,Pacific Rim ,131
Guillermo del Toro,1663662,Pacific Rim ,131
Guillermo del Toro,1663662,Pacific Rim ,131
Michael Bay,1399103,Transformers: Dark of the Moon ,154
Michael Bay,1399103,Transformers: Dark of the Moon ,154
Michael Bay,1399103,Transformers: Dark of the Moon ,154
Steven Spielberg,367882,Indiana Jones and the Kingdom of the Crystal Skull ,122
Steven Spielberg,367882,Indiana Jones and the Kingdom of the Crystal Skull ,122
Steven Spielberg,367882,Indiana Jones and the Kingdom of the Crystal Skull ,122
Peter Sohn,1979388,The Good Dinosaur ,93
Peter Sohn,1979388,The Good Dinosaur ,93
Peter Sohn,1979388,The Good Dinosaur ,93
Peter Sohn,1979388,The Good Dinosaur ,93
Peter Sohn,1979388,The Good Dinosaur ,93
Mark Andrews,1217209,Brave ,93
Mark Andrews,1217209,Brave ,93
Mark Andrews,1217209,Brave ,93
Mark Andrews,1217209,Brave ,93
Mark Andrews,1217209,Brave ,93
Justin Lin,2660888,Star Trek Beyond ,122
Justin Lin,2660888,Star Trek Beyond ,122
Justin Lin,2660888,Star Trek Beyond ,122
Justin Lin,2660888,Star Trek Beyond ,122
Andrew Stanton,910970,WALL·E ,98
Andrew Stanton,910970,WALL·E ,98
Andrew Stanton,910970,WALL·E ,98
Andrew Stanton,910970,WALL·E ,98
Brett Ratner,293564,Rush Hour 3 ,91
Brett Ratner,293564,Rush Hour 3 ,91
