genres,movie_id,movie_title
Action,499549,Avatar 
Adventure,499549,Avatar 
Fantasy,499549,Avatar 
Sci-Fi,499549,Avatar 
Action,449088,Pirates of the Caribbean: At World's End 
Adventure,449088,Pirates of the Caribbean: At World's End 
Fantasy,449088,Pirates of the Caribbean: At World's End 
Action,2379713,Spectre 
Adventure,2379713,Spectre 
Thriller,2379713,Spectre 
Action,1345836,The Dark Knight Rises 
Thriller,1345836,The Dark Knight Rises 
Documentary,5289954,Star Wars: Episode VII - The Force Awakens             
Action,401729,John Carter 
Adventure,401729,John Carter 
Sci-Fi,401729,John Carter 
Adventure,398286,Tangled 
Animation,398286,Tangled 
Comedy,398286,Tangled 
Family,398286,Tangled 
Fantasy,398286,Tangled 
Musical,398286,Tangled 
Romance,398286,Tangled 
Action,2395427,Avengers: Age of Ultron 
Adventure,2395427,Avengers: Age of Ultron 
Sci-Fi,2395427,Avengers: Age of Ultron 
Adventure,417741,Harry Potter and the Half-Blood Prince 
Family,417741,Harry Potter and the Half-Blood Prince 
Fantasy,417741,Harry Potter and the Half-Blood Prince 
Mystery,417741,Harry Potter and the Half-Blood Prince 
Action,2975590,Batman v Superman: Dawn of Justice 
Adventure,2975590,Batman v Superman: Dawn of Justice 
Sci-Fi,2975590,Batman v Superman: Dawn of Justice 
Action,348150,Superman Returns 
Adventure,348150,Superman Returns 
Sci-Fi,348150,Superman Returns 
Action,830515,Quantum of Solace 
Adventure,830515,Quantum of Solace 
Action,383574,Pirates of the Caribbean: Dead Man's Chest 
Adventure,383574,Pirates of the Caribbean: Dead Man's Chest 
Fantasy,383574,Pirates of the Caribbean: Dead Man's Chest 
Action,1210819,The Lone Ranger 
Adventure,1210819,The Lone Ranger 
Western,1210819,The Lone Ranger 
Action,770828,Man of Steel 
Adventure,770828,Man of Steel 
Fantasy,770828,Man of Steel 
Sci-Fi,770828,Man of Steel 
Action,499448,The Chronicles of Narnia: Prince Caspian 
Adventure,499448,The Chronicles of Narnia: Prince Caspian 
Family,499448,The Chronicles of Narnia: Prince Caspian 
Fantasy,499448,The Chronicles of Narnia: Prince Caspian 
Action,1298650,Pirates of the Caribbean: On Stranger Tides 
Adventure,1298650,Pirates of the Caribbean: On Stranger Tides 
Fantasy,1298650,Pirates of the Caribbean: On Stranger Tides 
Action,1409024,Men in Black 3 
Adventure,1409024,Men in Black 3 
Comedy,1409024,Men in Black 3 
Family,1409024,Men in Black 3 
Fantasy,1409024,Men in Black 3 
Sci-Fi,1409024,Men in Black 3 
Adventure,2310332,The Hobbit: The Battle of the Five Armies 
Fantasy,2310332,The Hobbit: The Battle of the Five Armies 
Action,948470,The Amazing Spider-Man 
Adventure,948470,The Amazing Spider-Man 
Fantasy,948470,The Amazing Spider-Man 
Action,955308,Robin Hood 
Adventure,955308,Robin Hood 
Drama,955308,Robin Hood 
History,955308,Robin Hood 
Adventure,1170358,The Hobbit: The Desolation of Smaug 
Fantasy,1170358,The Hobbit: The Desolation of Smaug 
Adventure,385752,The Golden Compass 
Family,385752,The Golden Compass 
Fantasy,385752,The Golden Compass 
Drama,120338,Titanic 
Romance,120338,Titanic 
Action,3498820,Captain America: Civil War 
Adventure,3498820,Captain America: Civil War 
Sci-Fi,3498820,Captain America: Civil War 
Action,1440129,Battleship 
Adventure,1440129,Battleship 
Sci-Fi,1440129,Battleship 
Thriller,1440129,Battleship 
Action,369610,Jurassic World 
Adventure,369610,Jurassic World 
Sci-Fi,369610,Jurassic World 
Thriller,369610,Jurassic World 
Action,316654,Spider-Man 2 
Adventure,316654,Spider-Man 2 
Fantasy,316654,Spider-Man 2 
Romance,316654,Spider-Man 2 
Action,1300854,Iron Man 3 
Adventure,1300854,Iron Man 3 
Sci-Fi,1300854,Iron Man 3 
